,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'UHT-milk'}),frozenset({'bananas'}),0.02229354614850798,0.07113115891741846,0.001561415683553088,0.07003891050583658,0.9846445857454683,-2.4350090369235338e-05,0.9988254902017717,-0.01570004948717705
1,frozenset({'bananas'}),frozenset({'UHT-milk'}),0.07113115891741846,0.02229354614850798,0.001561415683553088,0.02195121951219512,0.9846445857454683,-2.4350090369235338e-05,0.9996499902222238,-0.016511888968262122
2,frozenset({'UHT-milk'}),frozenset({'bottled beer'}),0.02229354614850798,0.046755725190839696,0.0011276891047883415,0.05058365758754864,1.081870880647979,8.53381875393995e-05,1.0040318796145664,0.07740081761907679
3,frozenset({'bottled beer'}),frozenset({'UHT-milk'}),0.046755725190839696,0.02229354614850798,0.0011276891047883415,0.02411873840445269,1.081870880647979,8.53381875393995e-05,1.001870301570255,0.0793870793870793
4,frozenset({'UHT-milk'}),frozenset({'bottled water'}),0.02229354614850798,0.06393129770992366,0.0013011797362942402,0.058365758754863814,0.9129450026133923,-0.0001240755995359456,0.9940894896221059,-0.08886361921596941
5,frozenset({'bottled water'}),frozenset({'UHT-milk'}),0.06393129770992366,0.02229354614850798,0.0013011797362942402,0.0203527815468114,0.9129450026133922,-0.0001240755995359456,0.9980189148040853,-0.0924509682990008
6,frozenset({'UHT-milk'}),frozenset({'broccoli'}),0.02229354614850798,0.12508674531575295,0.0019951422623178347,0.0894941634241245,0.7154568071798247,-0.0007934848669455684,0.9609090019395363,-0.28915523893353967
7,frozenset({'broccoli'}),frozenset({'UHT-milk'}),0.12508674531575295,0.02229354614850798,0.0019951422623178347,0.0159500693481276,0.7154568071798248,-0.0007934848669455684,0.9935537043367523,-0.3125111134819874
8,frozenset({'UHT-milk'}),frozenset({'potatoes'}),0.02229354614850798,0.07303955586398335,0.001040943789035392,0.046692607003891044,0.6392783533739381,-0.0005873669202848474,0.972362588338597,-0.36593689934836626
9,frozenset({'potatoes'}),frozenset({'UHT-milk'}),0.07303955586398335,0.02229354614850798,0.001040943789035392,0.014251781472684084,0.6392783533739382,-0.0005873669202848474,0.9918419688469353,-0.37838964564448113
10,frozenset({'UHT-milk'}),frozenset({'rolls/buns'}),0.02229354614850798,0.11380985426786953,0.0019951422623178347,0.0894941634241245,0.786348106671728,-0.0005420829759578828,0.9732943053553741,-0.21746414588571975
11,frozenset({'rolls/buns'}),frozenset({'UHT-milk'}),0.11380985426786953,0.02229354614850798,0.0019951422623178347,0.017530487804878047,0.786348106671728,-0.0005420829759578828,0.9951519530280509,-0.2346518657494268
12,frozenset({'UHT-milk'}),frozenset({'sausage'}),0.02229354614850798,0.06254337265787648,0.001040943789035392,0.046692607003891044,0.7465636248832953,-0.0003533697755963095,0.9833728703139826,-0.25772584832037243
13,frozenset({'sausage'}),frozenset({'UHT-milk'}),0.06254337265787648,0.02229354614850798,0.001040943789035392,0.016643550624133148,0.7465636248832954,-0.0003533697755963095,0.9942543769068064,-0.26584958532650244
14,frozenset({'UHT-milk'}),frozenset({'soda'}),0.02229354614850798,0.10149201943095072,0.0013879250520471894,0.062256809338521395,0.6134158103029698,-0.0008746919668419792,0.9581599626815173,-0.39194410913823674
15,frozenset({'soda'}),frozenset({'UHT-milk'}),0.10149201943095072,0.02229354614850798,0.0013879250520471894,0.013675213675213675,0.6134158103029698,-0.0008746919668419792,0.9912621759152909,-0.4122495300918537
